Date;Company;Assets
30.06.2005;6;5853,965
31.03.2005;6;5488,74
31.12.2004;6;5458,243
30.09.2004;6;5602,154
30.06.2004;6;5301,362
31.03.2004;6;4833,575
31.12.2003;6;4712,647
30.09.2003;6;4617,404
30.06.2003;6;4495,709
31.03.2003;6;4244,324
31.12.2002;6;3885,775
30.09.2002;6;3780,994
28.06.2002;6;3778,556
28.03.2002;6;3438,088
31.12.2001;6;3259,099
28.09.2001;6;3318,267
29.06.2001;6;3333,859
30.03.2001;6;3130,125
29.12.2000;6;3134,353
29.09.2000;6;2753,4
30.06.2000;6;2664,942
31.03.2000;6;2520,26
31.12.1999;6;2445,508
30.09.1999;6;2362,724
30.06.1999;6;2307,311
31.03.1999;6;2221,484
31.12.1998;6;2164,4189
30.09.1998;6;2260,6299
30.06.1998;6;2235,2219
31.03.1998;6;2239,6001
31.12.1997;6;2238,3191
30.09.1997;6;2222,9709
30.06.1997;6;2155,5601
31.03.1997;6;2157,981
31.12.1996;6;2243,7859
30.09.1996;6;2303,1699
28.06.1996;6;2198,522
31.12.2015;7;43437
30.09.2015;7;50089
30.06.2015;7;54369
31.03.2015;7;53389
31.12.2014;7;56259
30.09.2014;7;71510
30.06.2014;7;70293
31.03.2014;7;69275
31.12.2013;7;69443
30.09.2013;7;69437
28.06.2013;7;67422
28.03.2013;7;65824
31.12.2012;7;64210
28.09.2012;7;65625
29.06.2012;7;64283
30.03.2012;7;61622
30.12.2011;7;60044
30.09.2011;7;57244
30.06.2011;7;54595
31.03.2011;7;54065
31.12.2010;7;52432
30.09.2010;7;47503
30.06.2010;7;46259
31.03.2010;7;45531
31.12.2009;7;44229
30.09.2009;7;42214
30.06.2009;7;41835
31.03.2009;7;40620
31.12.2008;7;41537
30.09.2008;7;42589
30.06.2008;7;41444
31.03.2008;7;38486
31.12.2007;7;36519
28.09.2007;7;34022
29.06.2007;7;33672
30.03.2007;7;32883
29.12.2006;7;32431
29.09.2006;7;31701
30.06.2006;7;31163
31.03.2006;7;32200
30.12.2005;7;26108
30.09.2005;7;25097
30.06.2005;7;23960
31.03.2005;7;22277
31.12.2004;7;21391
30.09.2004;7;20376
30.06.2004;7;19345
31.03.2004;7;18666
31.12.2003;7;18168
30.09.2003;7;17706
30.06.2003;7;17179
31.03.2003;7;16937
31.12.2002;7;16548
30.09.2002;7;16339
28.06.2002;7;16481
28.03.2002;7;17714
31.12.2001;7;17850
28.09.2001;7;18763
29.06.2001;7;19486
30.03.2001;7;19883
29.12.2000;7;19414
29.09.2000;7;19774
30.06.2000;7;19556
31.03.2000;7;14343
31.12.1999;7;14125
