Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD;T-Bill3M
30.03.2007;4;73,96;0,85561197;0,450900198;13,8795;4715;65,87;7,73;12354,35;1,3354;1,9678;0,12942;0,008487;0,03848;0,022978;0,4857;0,00206
29.12.2006;4;73,53;0,833299995;0,434430851;14,2283;3772;61,05;6,299;12463,15;1,3197;1,9588;0,128;0,008399;0,03798;0,022595;0,4676;0,00081
29.09.2006;4;64,86;0,948564401;0,493862285;14,8835;5017;62,91;5,62;11679,07;1,2674;1,8721;0,12652;0,008462;0,03732;0,021772;0,4598;0,0091
30.06.2006;4;62,06;0,961702011;0,492181059;15,4147;4353;73,93;6,104;11150,22;1,2791;1,8483;0,1251;0,008739;0,03725;0,021713;0,462;0,01736
31.03.2006;4;57,97;0,994072308;0,506285709;18,6153;3996;66,63;7,21;11109,32;1,2118;1,7372;0,12473;0,008491;0,03611;0,022411;0,4618;0,01321
30.12.2005;4;56,77;0,992768244;0,496064595;20,4689;4144;61,04;11,225;10717,5;1,1849;1,723;0,1239;0,008494;0,03476;0,022204;0,4277;0,03242
30.09.2005;4;64,73;0,858869348;0,415537546;22,9478;3594;66,24;13,921;10568,7;1,2026;1,7643;0,12356;0,008812;0,03503;0,02272;0,4484;0,03801
30.06.2005;4;55,92;0,849871094;0,417796081;23,1453;3684;56,5;6,981;10274,97;1,2108;1,7915;0,12077;0,009015;0,03493;0,022973;0,4287;0,04807
31.03.2005;4;58,31;0,783041914;0,382166433;23,6243;2677;55,4;7,653;10503,76;1,2964;1,8905;0,12082;0,009333;0,03587;0,022855;0,372;0,05033
31.12.2004;4;52,51;0,842406824;0,410339827;24,8271;3440;43,45;6,149;10783,01;1,3554;1,9182;0,12082;0,009744;0,03606;0,022999;0,3769;0,05011
30.09.2004;4;53,64;0,800933823;0,378723257;27,5448;3201;49,64;6,795;10080,27;1,2436;1,812;0,12082;0,009087;0,03422;0,021751;0,3496;0,04877
30.06.2004;4;47,055;0,883561458;0,411217282;29,4168;4125;37,05;6,155;10435,48;1,22;1,8204;0,12082;0,009194;0,0344;0,02175;0,3243;0,04981
31.03.2004;4;43,89;0,906075561;0,409489047;32,2518;2562;35,76;5,933;10357,7;1,2316;1,8462;0,12081;0,009591;0,0351;0,023;0,3454;0,04607
31.12.2003;4;43,195;0,88205652;0,395858998;34,4529;1735;32,52;6,189;10453,92;1,2595;1,7858;0,12082;0,009327;0,0342;0,0219;0,346;0,04079
30.09.2003;4;35,725;1,064598919;0,464942901;37,3518;1975;29,2;4,83;9275,06;1,1657;1,6618;0,12081;0,008968;0,0326;0,02185;0,3448;0,03543
30.06.2003;4;36,1;1,044331923;0,446030528;38,0934;1600;30,19;5,411;8985,44;1,1512;1,6546;0,1208;0,008348;0,0329;0,0211;0,352;0,03121
31.03.2003;4;32,325;1,177132209;0,479745587;46,1536;1920;31,04;5,06;7992,13;1,0915;1,5827;0,12081;0,008466;0,0319;0,02105;0,2982;0,02772
31.12.2002;4;33,24;1,089413811;0,449332676;50,9888;904;31,2;4,789;8341,63;1,0492;1,61;0,12081;0,008416;0,0313;0,0209;0,2825;0,02217
30.09.2002;4;34,625;1,033488333;0,438273029;50,9485;-904;30,45;4,138;7591,93;0,9866;1,5684;0,12081;0,008215;0,03156;0,02067;0,2674;0,01705
28.06.2002;4;44,25;0,821395854;0,360139585;49,2568;407;26,86;3,245;9243,26;0,9915;1,5335;0,12081;0,008363;0,03177;0,02045;0,3549;0,01266
28.03.2002;4;45,135;0,81641475;0,357149023;51,8233;725;26,31;3,283;10403,94;0,8717;1,4259;0,12081;0,007534;0,03204;0,02049;0,4301;0,00943
31.12.2001;4;44,805;0,811136882;0,35804334;50,8688;-2522;19,84;2,57;10021,5;0,8895;1,4546;0,12082;0,007595;0,03278;0,02072;0,4328;0,00922
28.09.2001;4;42,375;0,817790894;0,422458262;28,6224;1269;23,43;2,244;8847,56;0,9114;1,4744;0,12081;0,008364;0,03394;0,02089;0,3743;0,00943
