Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD
30.09.2005;4;0,157546495;0,010587787;-0,00540583;-0,00853305;-0,024429967;0,172389381;0,994126916;-0,017483055;-0,006772382;-0,015182808;2,31E-02;-0,022518026;0,002862869;-0,011012928;0,045952881
30.06.2005;4;-0,040987824;0,085345598;0,09323071;-0,020275733;0,376167352;0,019855596;-0,087808702;-0,062571724;-0,066029003;-0,052367099;-4,14E-04;-0,034072645;-0,026205743;0,005162984;0,152419355
31.03.2005;4;0,110455151;-0,070470595;-0,068658688;-0,04844706;-0,221802326;0,275028769;0,244592617;-0,061327222;-0,043529585;-0,014440621;0,00E+00;-0,042179803;-0,005268996;-0,006261142;-0,013000796
31.12.2004;4;-0,021066368;0,051780808;0,083481989;-0,098664721;0,074664167;-0,124697824;-0,095069904;0,038504402;0,089900289;0,058609272;0,00E+00;0,072301089;0,053769725;0,057376672;0,078089245
30.09.2004;4;0,13994262;-0,093516568;-0,079019115;-0,063637105;-0,224;0,339811066;0,103980504;-0,061758683;0,019344262;-0,00461437;0;-0,011638025;-0,005232558;4,5977E-05;0,078014184
30.06.2004;4;0,072112098;-0,024847931;0,004220468;-0,087902071;0,610070258;0,036073826;0,037417832;-0,014660611;-0,009418642;-0,013974651;8,27746E-05;-0,041392973;-0,01994302;-0,054347826;-0,061088593
31.03.2004;4;0,016089825;0,027230728;0,034431576;-0,06388722;0,476657061;0,099630996;-0,04136371;-0,026254203;-0,022151647;0,033822377;-8,27678E-05;0,028304921;0,026315789;0,050228311;-0,001734104
31.12.2003;4;0,209097271;-0,171465888;-0,148585779;-0,077610718;-0,121518987;0,11369863;0,28136646;0,114439986;0,080466672;0,074617884;8,27746E-05;0,040031222;0,049079755;0,00228833;0,003480278
30.09.2003;4;-0,010387812;0,019406662;0,042401521;-0,019467939;0,234375;-0,032792315;-0,107373868;0,022802144;0,012595552;0,004351505;8,28E-05;0,074269286;-0,009118541;0,035545024;-0,020454545
30.06.2003;4;0,116782676;-0,112816798;-0,070276956;-0,174638598;-0,166666667;-0,027384021;0,069367589;0,115066016;0,054695373;0,045428698;-8,28E-05;-0,013938105;0,031347962;0,002375297;0,180415828
